:IngredientName,IngredientType,Unit,Recipe
Carrier_postweight_3,Analog,REF_SHEET_POSTWEIGHT_03,1.1
Carrier_postweight_4,Analog,REF_SHEET_POSTWEIGHT_04,1.1
Carrier_postweight_5,Analog,REF_SHEET_POSTWEIGHT_05,1.1
Carrier_postweight_6,Analog,REF_SHEET_POSTWEIGHT_06,1.1
Carrier_postweight_7,Analog,REF_SHEET_POSTWEIGHT_07,1.1
Carrier_postweight_8,Analog,REF_SHEET_POSTWEIGHT_08,1.1
Carrier_postweight_9,Analog,REF_SHEET_POSTWEIGHT_09,1.1
Carrier_postweight_10,Analog,REF_SHEET_POSTWEIGHT_10,1.1
Carrier_postweight_11,Analog,REF_SHEET_POSTWEIGHT_11,1.1
Carrier_postweight_12,Analog,REF_SHEET_POSTWEIGHT_12,1.1
Carrier_postweight_13,Analog,REF_SHEET_POSTWEIGHT_13,1.1
Carrier_postweight_14,Analog,REF_SHEET_POSTWEIGHT_14,1.1
Carrier_postweight_15,Analog,REF_SHEET_POSTWEIGHT_15,1.1
Carrier_postweight_16,Analog,REF_SHEET_POSTWEIGHT_16,1.1
Carrier_postweight_17,Analog,REF_SHEET_POSTWEIGHT_17,1.1
Carrier_postweight_18,Analog,REF_SHEET_POSTWEIGHT_18,1.1
Carrier_postweight_19,Analog,REF_SHEET_POSTWEIGHT_19,1.1
Carrier_postweight_20,Analog,REF_SHEET_POSTWEIGHT_20,1.1
Carrier_postweight_21,Analog,REF_SHEET_POSTWEIGHT_21,1.1
Carrier_postweight_22,Analog,REF_SHEET_POSTWEIGHT_22,1.1
Carrier_postweight_23,Analog,REF_SHEET_POSTWEIGHT_23,1.1
Carrier_postweight_24,Analog,REF_SHEET_POSTWEIGHT_24,1.1
Carrier_postweight_25,Analog,REF_SHEET_POSTWEIGHT_25,1.1
Carrier_postweight_26,Analog,REF_SHEET_POSTWEIGHT_26,1.1
Carrier_postweight_27,Analog,REF_SHEET_POSTWEIGHT_27,1.1
Carrier_postweight_28,Analog,REF_SHEET_POSTWEIGHT_28,1.1
Carrier_postweight_29,Analog,REF_SHEET_POSTWEIGHT_29,1.1
Carrier_postweight_30,Analog,REF_SHEET_POSTWEIGHT_30,1.1
Carrier_postweight_31,Analog,REF_SHEET_POSTWEIGHT_31,1.1
Carrier_postweight_32,Analog,REF_SHEET_POSTWEIGHT_32,1.1
Carrier_postweight_33,Analog,REF_SHEET_POSTWEIGHT_33,1.1
Carrier_postweight_34,Analog,REF_SHEET_POSTWEIGHT_34,1.1
Carrier_postweight_35,Analog,REF_SHEET_POSTWEIGHT_35,1.1
Carrier_postweight_36,Analog,REF_SHEET_POSTWEIGHT_36,1.1
Carrier_weightgain_1,Analog,REF_SHEET_GAIN_01,1.1
Carrier_weightgain_2,Analog,REF_SHEET_GAIN_02,1.1
Carrier_weightgain_3,Analog,REF_SHEET_GAIN_03,1.1
Carrier_weightgain_4,Analog,REF_SHEET_GAIN_04,1.1
Carrier_weightgain_5,Analog,REF_SHEET_GAIN_05,1.1
Carrier_weightgain_6,Analog,REF_SHEET_GAIN_06,1.1
Carrier_weightgain_7,Analog,REF_SHEET_GAIN_07,1.1
Carrier_weightgain_8,Analog,REF_SHEET_GAIN_08,1.1
Carrier_weightgain_9,Analog,REF_SHEET_GAIN_09,1.1
Carrier_weightgain_10,Analog,REF_SHEET_GAIN_10,1.1
Carrier_weightgain_11,Analog,REF_SHEET_GAIN_11,1.1
Carrier_weightgain_12,Analog,REF_SHEET_GAIN_12,1.1
Carrier_weightgain_13,Analog,REF_SHEET_GAIN_13,1.1
Carrier_weightgain_14,Analog,REF_SHEET_GAIN_14,1.1
Carrier_weightgain_15,Analog,REF_SHEET_GAIN_15,1.1
Carrier_weightgain_16,Analog,REF_SHEET_GAIN_16,1.1
Carrier_weightgain_17,Analog,REF_SHEET_GAIN_17,1.1
Carrier_weightgain_18,Analog,REF_SHEET_GAIN_18,1.1
Carrier_weightgain_19,Analog,REF_SHEET_GAIN_19,1.1
Carrier_weightgain_20,Analog,REF_SHEET_GAIN_20,1.1
Carrier_weightgain_21,Analog,REF_SHEET_GAIN_21,1.1
Carrier_weightgain_22,Analog,REF_SHEET_GAIN_22,1.1
Carrier_weightgain_23,Analog,REF_SHEET_GAIN_23,1.1
Carrier_weightgain_24,Analog,REF_SHEET_GAIN_24,1.1
Carrier_weightgain_25,Analog,REF_SHEET_GAIN_25,1.1
Carrier_weightgain_26,Analog,REF_SHEET_GAIN_26,1.1
Carrier_weightgain_27,Analog,REF_SHEET_GAIN_27,1.1
Carrier_weightgain_28,Analog,REF_SHEET_GAIN_28,1.1
Carrier_weightgain_29,Analog,REF_SHEET_GAIN_29,1.1
Carrier_weightgain_30,Analog,REF_SHEET_GAIN_30,1.1
Carrier_weightgain_31,Analog,REF_SHEET_GAIN_31,1.1
Carrier_weightgain_32,Analog,REF_SHEET_GAIN_32,1.1
Carrier_weightgain_33,Analog,REF_SHEET_GAIN_33,1.1
Carrier_weightgain_34,Analog,REF_SHEET_GAIN_34,1.1
Carrier_weightgain_35,Analog,REF_SHEET_GAIN_35,1.1
Carrier_weightgain_36,Analog,REF_SHEET_GAIN_36,1.1
Carrier_out_of_tol_1,Analog,REF_SHEET_OUT_OF_TOL_01,1.1
Carrier_out_of_tol_2,Analog,REF_SHEET_OUT_OF_TOL_02,1.1
Carrier_out_of_tol_3,Analog,REF_SHEET_OUT_OF_TOL_03,1.1
Carrier_out_of_tol_4,Analog,REF_SHEET_OUT_OF_TOL_04,1.1
Carrier_out_of_tol_5,Analog,REF_SHEET_OUT_OF_TOL_05,1.1
Carrier_out_of_tol_6,Analog,REF_SHEET_OUT_OF_TOL_06,1.1
Carrier_out_of_tol_7,Analog,REF_SHEET_OUT_OF_TOL_07,1.1
Carrier_out_of_tol_8,Analog,REF_SHEET_OUT_OF_TOL_08,1.1
Carrier_out_of_tol_9,Analog,REF_SHEET_OUT_OF_TOL_09,1.1
Carrier_out_of_tol_10,Analog,REF_SHEET_OUT_OF_TOL_10,1.1
Carrier_out_of_tol_11,Analog,REF_SHEET_OUT_OF_TOL_11,1.1
Carrier_out_of_tol_12,Analog,REF_SHEET_OUT_OF_TOL_12,1.1
Carrier_out_of_tol_13,Analog,REF_SHEET_OUT_OF_TOL_13,1.1
Carrier_out_of_tol_14,Analog,REF_SHEET_OUT_OF_TOL_14,1.1
Carrier_out_of_tol_15,Analog,REF_SHEET_OUT_OF_TOL_15,1.1
Carrier_out_of_tol_16,Analog,REF_SHEET_OUT_OF_TOL_16,1.1
Carrier_out_of_tol_17,Analog,REF_SHEET_OUT_OF_TOL_17,1.1
Carrier_out_of_tol_18,Analog,REF_SHEET_OUT_OF_TOL_18,1.1
Carrier_out_of_tol_19,Analog,REF_SHEET_OUT_OF_TOL_19,1.1
Carrier_out_of_tol_20,Analog,REF_SHEET_OUT_OF_TOL_20,1.1
Carrier_out_of_tol_21,Analog,REF_SHEET_OUT_OF_TOL_21,1.1
Carrier_out_of_tol_22,Analog,REF_SHEET_OUT_OF_TOL_22,1.1
Carrier_out_of_tol_23,Analog,REF_SHEET_OUT_OF_TOL_23,1.1
Carrier_out_of_tol_24,Analog,REF_SHEET_OUT_OF_TOL_24,1.1
Carrier_out_of_tol_25,Analog,REF_SHEET_OUT_OF_TOL_25,1.1
Carrier_out_of_tol_26,Analog,REF_SHEET_OUT_OF_TOL_26,1.1
Carrier_out_of_tol_27,Analog,REF_SHEET_OUT_OF_TOL_27,1.1
Carrier_out_of_tol_28,Analog,REF_SHEET_OUT_OF_TOL_28,1.1
Carrier_out_of_tol_29,Analog,REF_SHEET_OUT_OF_TOL_29,1.1
Carrier_out_of_tol_30,Analog,REF_SHEET_OUT_OF_TOL_30,1.1
Carrier_out_of_tol_31,Analog,REF_SHEET_OUT_OF_TOL_31,1.1
Carrier_out_of_tol_32,Analog,REF_SHEET_OUT_OF_TOL_32,1.1
Carrier_out_of_tol_33,Analog,REF_SHEET_OUT_OF_TOL_33,1.1
Carrier_out_of_tol_34,Analog,REF_SHEET_OUT_OF_TOL_34,1.1
Carrier_out_of_tol_35,Analog,REF_SHEET_OUT_OF_TOL_35,1.1
Carrier_out_of_tol_36,Analog,REF_SHEET_OUT_OF_TOL_36,1.1
Carrier_heat_zone1,Message,REF_SHEET_HEAT_ZONE_1,
Carrier_heat_zone2,Message,REF_SHEET_HEAT_ZONE_2,
Carrier_heat_zone3,Message,REF_SHEET_HEAT_ZONE_3,
Carrier_heat_TC1,Analog,REF_SHEET_HEAT_TC1,1.1
Carrier_heat_TC2,Analog,REF_SHEET_HEAT_TC2,1.1
Carrier_heat_TC3,Analog,REF_SHEET_HEAT_TC3,1.1
Carrier_heat_TC4,Analog,REF_SHEET_HEAT_TC4,1.1
Carrier_heat_TC5,Analog,REF_SHEET_HEAT_TC5,1.1
Carrier_heat_ch_press,Analog,REF_SHEET_HEAT_CHAMBER_PRESSURE,1.1
Carrier_heat_Ar_flow,Analog,REF_SHEET_HEAT_AR_FLOW,1.1
Carrier_coat_TC1,Analog,REF_SHEET_COAT_TC1,1.1
Carrier_coat_TC2,Analog,REF_SHEET_COAT_TC2,1.1
Carrier_coat_TC3,Analog,REF_SHEET_COAT_TC3,1.1
Carrier_coat_TC4,Analog,REF_SHEET_COAT_TC4,1.1
Carrier_coat_TC5,Analog,REF_SHEET_COAT_TC5,1.1
